algo,n,trial,timeNanos,depth,comparisons,swaps,allocations
mergesort,100000,1,19724250,12,1861788,0,1300000
mergesort,100000,2,15186208,12,1861130,0,1300000
mergesort,100000,3,7365875,12,1862733,0,1300000
quicksort,100000,1,18676750,9,2118296,790771,0,
quicksort,100000,2,16050000,8,2143311,870881,0,
quicksort,100000,3,4784041,9,2123755,830152,0,
select,100000,1,10859709,0,845748,357965,0,-12890983
select,100000,2,3330625,0,861922,361035,0,3138832
select,100000,3,3124083,0,830925,352366,0,7281267
closest,100000,1,214863542,16,142645,0,0,2.9692063629816097E-12
closest,100000,2,127097334,16,142684,0,0,1.3869671091918928E-10
closest,100000,3,129066125,16,142636,0,0,8.053012255101199E-11
mergesort,20000,1,4148875,10,307273,0,220000,
mergesort,20000,2,3137375,10,307956,0,220000,
mergesort,20000,3,2237916,10,306083,0,220000,
quicksort,20000,1,6986875,8,360779,141742,0,
quicksort,20000,2,3318958,7,397165,158224,0,
quicksort,20000,3,3295667,7,371593,155155,0,
mergesort,40000,1,8716666,11,654566,0,480000,
mergesort,40000,2,6381834,11,654818,0,480000,
mergesort,40000,3,8166292,11,653541,0,480000,
quicksort,40000,1,10599542,8,762430,285595,0,
quicksort,40000,2,7160875,8,779679,305147,0,
quicksort,40000,3,6693500,8,762080,297273,0,
mergesort,80000,1,21008084,12,1388994,0,1040000,
mergesort,80000,2,12208875,12,1387497,0,1040000,
mergesort,80000,3,11695791,12,1388612,0,1040000,
quicksort,80000,1,17696666,8,1648979,698760,0,
quicksort,80000,2,17255542,8,1648468,673934,0,
quicksort,80000,3,4515417,8,1724370,722723,0,
mergesort,160000,1,50851166,13,2937190,0,2240000,
mergesort,160000,2,24669292,13,2936714,0,2240000,
mergesort,160000,3,10995084,13,2936688,0,2240000,
quicksort,160000,1,45939417,8,3525036,1396583,0,
quicksort,160000,2,29225667,9,3716028,1300053,0,
quicksort,160000,3,8304208,9,3508046,1403153,0,
