algo,n,trial,timeNanos,depth,comparisons,swaps,allocations,result
mergesort,10000,1,4621125,9,143771,0,100000,
mergesort,10000,2,1821209,9,143729,0,100000,
mergesort,10000,3,1759875,9,143075,0,100000,
quicksort,10000,1,3375833,6,158821,60692,0,
quicksort,10000,2,1440458,7,163317,57441,0,
quicksort,10000,3,1518709,6,159241,59274,0,
select,10000,1,2993875,0,81959,33290,0,-36874991
select,10000,2,2509833,0,82734,33727,0,17991828
select,10000,3,534959,0,82251,33704,0,27451779
closest,10000,1,25999083,12,12950,0,0,2.04097949004857E-8
closest,10000,2,13606333,12,13027,0,0,7.353726042429961E-9
closest,10000,3,13299291,12,12934,0,0,8.462711875676863E-9
mergesort,20000,1,4241959,10,307273,0,220000,
mergesort,20000,2,2883917,10,307956,0,220000,
mergesort,20000,3,2131958,10,306083,0,220000,
quicksort,20000,1,6659000,8,360779,141742,0,
quicksort,20000,2,3350917,7,397165,158224,0,
quicksort,20000,3,3142625,7,371593,155155,0,
select,20000,1,5183917,0,165973,68502,0,-24016116
select,20000,2,1027917,0,163107,66845,0,-11069402
select,20000,3,1006458,0,163177,67551,0,34230000
closest,20000,1,41357042,13,26020,0,0,8.745375891573407E-10
closest,20000,2,25001750,13,26074,0,0,2.017277161966985E-9
closest,20000,3,31508209,13,26055,0,0,3.842043072831216E-9
mergesort,40000,1,7337500,11,654566,0,480000,
mergesort,40000,2,5566458,11,654818,0,480000,
mergesort,40000,3,7563750,11,653541,0,480000,
quicksort,40000,1,8834459,8,762430,285595,0,
quicksort,40000,2,6600416,8,779679,305147,0,
quicksort,40000,3,6494458,8,762080,297273,0,
select,40000,1,6370500,0,338811,140375,0,-16460636
select,40000,2,1986292,0,333639,137989,0,-9612086
select,40000,3,1495209,0,335124,138440,0,18876354
closest,40000,1,62217833,14,52507,0,0,4.7810077435301445E-11
closest,40000,2,138783000,14,52334,0,0,1.6939696547457525E-9
closest,40000,3,57715917,14,52535,0,0,5.494037627649946E-10
mergesort,80000,1,11637250,12,1388994,0,1040000,
mergesort,80000,2,7508541,12,1387497,0,1040000,
mergesort,80000,3,10480583,12,1388612,0,1040000,
quicksort,80000,1,16406208,8,1648979,698760,0,
quicksort,80000,2,16643000,8,1648468,673934,0,
quicksort,80000,3,22303333,8,1724370,722723,0,
select,80000,1,9766541,0,682707,285016,0,-11925691
select,80000,2,2614583,0,667039,280451,0,4007480
select,80000,3,2534792,0,665747,279793,0,3570285
closest,80000,1,228407291,15,105142,0,0,2.9692063629816097E-12
closest,80000,2,110189333,15,105469,0,0,1.8438796590748432E-10
closest,80000,3,92048875,15,105195,0,0,8.053012255101199E-11
